PersonUrn,Label,Description,Status,Redirect,StemClass
urn:cite:hmt:pers.pers242,Pedaius,"Son of Antenor",proposed,,
urn:cite:hmt:pers.pers243,Teucer,"Son of Telamon",proposed,,
urn:cite:hmt:pers.pers244,Eurypylus,"Son of Euaemon",proposed,,
urn:cite:hmt:pers.pers245,Abron,"proverbially rich Argive man",proposed,,
urn:cite:hmt:pers.pers246,Trophonius,"son of Erginus",proposed,,
urn:cite:hmt:pers.pers247,Nicias,"a Homeric scholar not otherwise known outside the scholia",proposed,,
urn:cite:hmt:pers.pers248,Heracleon,"a Homeric scholar not otherwise known outside the scholia",proposed,,
urn:cite:hmt:pers.pers249,Eurypylus,"son of Telephus",proposed,,
urn:cite:hmt:pers.pers250,Ixion,"grammarian, nickname of Demetrius, appears in scholia either as Demetrius Ixion or just Ixion (e.g., in list on Venetus A 9 verso)",proposed,,
urn:cite:hmt:pers.pers251,Tydeus,"one of the seven against Thebes",proposed,,
urn:cite:hmt:pers.pers252,Melanippus,"one of the seven defenders of Thebes",proposed,,
urn:cite:hmt:pers.pers253,Astacus,"father of Melanippus",proposed,,
urn:cite:hmt:pers.pers254,Amphiaraus,"one of the seven against Thebes",proposed,,
urn:cite:hmt:pers.pers255,Pherecydes,"a Greek mythographer, 5th c. BCE",proposed,,
urn:cite:hmt:pers.pers256,Demosthenes,"Attic orator",proposed,,
urn:cite:hmt:pers.pers257,Aethre,"mother of Theseus",proposed,,
urn:cite:hmt:pers.pers258,Pittheus,"son of Pelops, king of Troezen, father of Aethre",proposed,,
urn:cite:hmt:pers.pers259,Polydius,"seer of Minos",proposed,,
urn:cite:hmt:pers.pers260,Oroandes,"father of (a) Ptolemy",proposed,,
urn:cite:hmt:pers.pers261,Adonis,"youth favored by Aphrodite",proposed,,
urn:cite:hmt:pers.pers262,Persephone,"goddess of the Underworld",proposed,,
urn:cite:hmt:pers.pers263,Halius,"a Lycian",proposed,,
urn:cite:hmt:pers.pers264,Hecate,"goddess associated with magic and witchcraft",proposed,,
urn:cite:hmt:pers.pers265,Alcman,"son of Amphiareus, one of the Epigonoi",proposed,,
urn:cite:hmt:pers.pers266,Stentor,"herald of the Greek forces",proposed,,
urn:cite:hmt:pers.pers267,Periphas,"Aetolian, son of Ochesius, slain by Ares",proposed,,
urn:cite:hmt:pers.pers268,Paean,"physician of the gods",proposed,,
urn:cite:hmt:pers.pers269,Lycaon,"father of Pandarus",proposed,,
urn:cite:hmt:pers.pers270,Sthenelus,"son of Capanaeus",proposed,,
urn:cite:hmt:pers.pers271,Telemachus,"son of Odysseus",proposed,,
urn:cite:hmt:pers.pers272,Pisistratus,"youngest son of Nestor",proposed,,
