URN,Label,Description,Pleiades,Status,Redirect
urn:cite:hmt:place.place91,Hyde,a town on Mt. Tmolus in Lydia (possibly the later Sardis),pleiades.stoa.org/places/550867,proposed,
urn:cite:hmt:place.place92,Simois River,flows into the Scamander River,pleiades.stoa.org/places/550883,proposed,
urn:cite:hmt:place.place93,Scamander River,"river rising from Mt. Ida,sometimes referred to as Xanthus",pleiades.stoa.org/places/550871,proposed,
urn:cite:hmt:place.place94,Acheron,river of the nether world,,proposed,
urn:cite:hmt:place.place95,Locris,"REJECTED, Opuntia, region in central Greece",pleiades.stoa.org/places/540918,rejected,urn:cite:hmt:place.place269 or urn:cite:hmt:place.place270
urn:cite:hmt:place.place96,Achaea,region of Greece in the NW part of the Peloponese,pleiades.stoa.org/places/570028,proposed,
urn:cite:hmt:place.place97,Emathoes,river near Pylos,,proposed,
urn:cite:hmt:place.place98,Cyprus,Greek Island,pleiades.stoa.org/places/981516,proposed,
urn:cite:hmt:place.place99,Abydus,"an ancient city of Mysia, in Asia Minor",pleiades.stoa.org/places/501325,proposed,
urn:cite:hmt:place.place100,Euboea,"the island separated from Boeotia by the Euripus, named by Homer as the home of the Abantes",pleiades.stoa.org/places/540775,proposed,
urn:cite:hmt:place.place101,Aegina,Island off the western coast of Attica,pleiades.stoa.org/places/579844,proposed,
urn:cite:hmt:place.place102,Bosporus,Strait in Turkey,pleiades.stoa.org/places/520977,proposed,
urn:cite:hmt:place.place103,Aegean Sea,"part of the Mediterranean Sea, near Greece",pleiades.stoa.org/places/560221,proposed,
urn:cite:hmt:place.place104,Myrtoan Sea,"part of the Aegean, between the Cyclades and the Peloponnese",pleiades.stoa.org/places/570495,proposed,
urn:cite:hmt:place.place105,Istros,Greek city in modern day Romania on Black Sea,pleiades.stoa.org/places/446253,proposed,
